TECHNOLOGIES	c_inv	c_maint	lifetime	f_min	f	f_max	fmin_perc	f_perc	fmax_perc	c_p_actual	c_p	gwp_constr
UNITS	[Meuro/GW]	[Meuro/GW]	[y]	[GW or GWh]	[GW or GWh]	[GW or GWh]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[ktCO2-eq./GW or GWh]
BOAT_FREIGHT_NG	6722.298424	336.114921	40.000000	0.000000	88.000998	6000.000000	0.000000	0.103034	0.103034	0.114155	0.114155	0.000000
TRUCK_DIESEL	33979.990143	1698.999508	15.000000	0.000000	91.562848	6000.000000	0.000000	0.057255	0.057255	0.092593	0.092593	0.000000
TRUCK_FUEL_CELL	606409.093644	18192.272815	15.000000	0.000000	1507.646918	6000.000000	0.000000	0.942745	0.942745	0.092593	0.092593	0.000000
TRUCK_NG	0.000000	0.000000	15.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	0.092593	0.000000
TRUCK_ELEC	0.000000	0.000000	15.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	0.092593	0.000000
NON_ENERGY_OIL	0.000000	0.000000	1.000000	0.000000	0.000000	600000.000000	0.000000	-0.000000	-0.000000	0.000000	1.000000	0.000000
NON_ENERGY_NG	0.000013	0.000000	1.000000	0.000000	128.840767	600000.000000	0.000000	1.000000	1.000000	1.000000	1.000000	0.000000
DAM_STORAGE	0.000000	0.000000	1.000000	31227.683390	33629.184720	33629.226520	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
PHS	140943.600000	0.000000	50.000000	2397.000000	2397.000000	14383.001000	0.000000	-1.000000	1.000000	1.000000	1.000000	19967.010000
BATT_LI	0.000000	0.000000	15.000000	0.000000	0.000000	600000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
CAES	0.000000	0.000000	50.000000	0.000000	0.000000	20.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
BEV_BATT	0.000000	0.000000	1.000000	0.000000	0.000000	600000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
PHEV_BATT	0.000000	0.000000	1.000000	0.000000	0.000000	600000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
TS_DEC_HP_ELEC	12997.085008	90.979595	25.000000	0.000000	685.073400	600000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000000	0.000000	25.000000	0.000000	0.000000	600000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
TS_DHN_DAILY	0.000000	0.000000	40.000000	0.000000	0.000000	600000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
TS_DHN_SEASONAL	27330.775152	151.837640	25.000000	0.000000	50612.546579	600000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
TS_DEC_THHP_GAS	0.000000	0.000000	25.000000	0.000000	0.000000	600000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
TS_DEC_COGEN_GAS	0.000000	0.000000	25.000000	0.000000	0.000000	600000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
TS_DEC_COGEN_OIL	0.000000	0.000000	25.000000	0.000000	0.000000	600000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000000	0.000000	25.000000	0.000000	0.000000	600000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000000	0.000000	25.000000	0.000000	0.000000	600000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
