ELECTRICITY	ES-PT	FR	IE-UK	BE-DE-LU-NL	AT-CH-IT	DK-SE
ES-PT	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FR	443129.963585	0.000000	43974.333192	7254.703085	4843.738983	0.000000
IE-UK	0.000000	79069.181149	0.000000	55557.091387	0.000000	0.000000
BE-DE-LU-NL	0.000000	34247.484282	50237.738216	0.000000	29122.720167	420339.562284
AT-CH-IT	0.000000	121330.804493	0.000000	45259.841450	0.000000	0.000000
DK-SE	0.000000	0.000000	0.000000	923.800247	0.000000	0.000000

NG	ES-PT	FR	IE-UK	BE-DE-LU-NL	AT-CH-IT	DK-SE
ES-PT	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FR	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
IE-UK	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
BE-DE-LU-NL	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AT-CH-IT	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
DK-SE	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000

GASOLINE	ES-PT	FR	IE-UK	BE-DE-LU-NL	AT-CH-IT	DK-SE
ES-PT	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FR	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
IE-UK	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
BE-DE-LU-NL	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AT-CH-IT	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
DK-SE	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000

DIESEL	ES-PT	FR	IE-UK	BE-DE-LU-NL	AT-CH-IT	DK-SE
ES-PT	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FR	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
IE-UK	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
BE-DE-LU-NL	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AT-CH-IT	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
DK-SE	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000

LFO	ES-PT	FR	IE-UK	BE-DE-LU-NL	AT-CH-IT	DK-SE
ES-PT	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FR	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
IE-UK	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
BE-DE-LU-NL	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AT-CH-IT	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
DK-SE	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000

SLF	ES-PT	FR	IE-UK	BE-DE-LU-NL	AT-CH-IT	DK-SE
ES-PT	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FR	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
IE-UK	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
BE-DE-LU-NL	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AT-CH-IT	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
DK-SE	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000

WOOD	ES-PT	FR	IE-UK	BE-DE-LU-NL	AT-CH-IT	DK-SE
ES-PT	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FR	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
