Period	HourofPeriod	TD	DAM_STORAGE	PHS	BATT_LI	CAES	BEV_BATT	PHEV_BATT	TS_HIGH_TEMP	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLF_STO	PT_STORAGE	ST_STORAGE	TS_COLD	DAM_STORAGE_in	DAM_STORAGE_out	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	CAES_in	CAES_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_HIGH_TEMP_in	TS_HIGH_TEMP_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLF_STO_in	SLF_STO_out	PT_STORAGE_in	PT_STORAGE_out	ST_STORAGE_in	ST_STORAGE_out	TS_COLD_in	TS_COLD_out
11	11	1	5076.668049	476.122466	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	102.356713	0.000000	34.756272	0.000000	148.386314	0.000000	-1.991542	15.862000	0.000000	2.517310	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	15.428060	0.000000	0.000000	-0.272242	0.000000	0.000000	0.000000	-86.898269	0.000000	0.000000	0.000000
12	12	1	5063.018605	473.312076	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	95.951448	0.000000	35.028514	0.000000	260.059059	0.000000	-2.212555	15.862000	0.000000	2.810390	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.405265	0.000000	0.000000	-0.272242	0.000000	0.000000	0.000000	-111.725422	0.000000	0.000000	0.000000
13	13	1	5054.776518	473.312076	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	89.101959	0.000000	35.300757	0.000000	346.316737	0.000000	-2.178891	10.420977	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.849489	0.000000	0.000000	-0.272242	0.000000	0.000000	0.000000	-86.349999	0.000000	0.000000	0.000000
14	14	1	5050.339797	473.312076	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	77.810229	0.000000	35.572999	0.000000	376.595479	0.000000	-1.400878	5.837599	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	11.291730	0.000000	-0.000000	-0.272242	0.000000	0.000000	0.000000	-30.401684	0.000000	0.000000	0.000000
15	15	1	5043.879806	473.312076	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	64.741604	0.000000	35.845241	0.000000	385.599950	0.000000	-2.184216	8.644207	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	13.068626	0.000000	0.000000	-0.272242	0.000000	0.000000	0.000000	-9.138163	0.000000	0.000000	0.000000
16	16	1	5029.753461	471.745195	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	51.672978	0.000000	36.117484	0.000000	318.347884	0.000000	-1.735655	15.862000	0.000000	1.566881	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	13.068626	0.000000	0.000000	-0.272242	0.000000	0.000000	0.000000	0.000000	67.115178	0.000000	0.000000
17	17	1	5015.658505	468.202787	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	42.561555	0.000000	36.389726	0.000000	251.119693	0.000000	-1.767044	15.862000	0.000000	3.542408	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9.111423	0.000000	0.000000	-0.272242	0.000000	0.000000	0.000000	0.000000	67.115178	0.000000	0.000000
18	18	1	5002.421133	464.660380	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	37.593642	-0.000000	36.661968	0.000000	183.915367	0.000000	-2.624628	15.862000	0.000000	3.542408	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.967913	0.000000	0.000000	-0.272242	0.000000	0.000000	0.000000	0.000000	67.115178	0.000000	0.000000
19	19	1	4989.167138	461.117972	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	34.743128	0.000000	36.934211	0.000000	116.734899	0.000000	-2.608005	15.862000	0.000000	3.542408	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.850513	0.000000	-0.000000	-0.272242	0.000000	0.000000	0.000000	0.000000	67.115178	0.000000	0.000000
20	20	1	4976.575274	461.117972	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	34.743128	0.000000	37.206453	0.000000	71.697156	0.000000	-2.086731	14.678595	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.272242	0.000000	0.000000	0.000000	0.000000	44.996302	0.000000	0.000000
