Period	HourofPeriod	TD	DAM_STORAGE	PHS	BATT_LI	CAES	BEV_BATT	PHEV_BATT	TS_HIGH_TEMP	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLF_STO	PT_STORAGE	ST_STORAGE	TS_COLD	DAM_STORAGE_in	DAM_STORAGE_out	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	CAES_in	CAES_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_HIGH_TEMP_in	TS_HIGH_TEMP_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLF_STO_in	SLF_STO_out	PT_STORAGE_in	PT_STORAGE_out	ST_STORAGE_in	ST_STORAGE_out	TS_COLD_in	TS_COLD_out
11	11	1	50.120241	47.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	231.234708	0.000000	215.133480	0.000000	80.813943	0.000000	-0.019057	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	30.503337	0.000000	0.000000	-0.477014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
12	12	1	50.138466	47.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	212.147214	0.000000	215.610495	0.000000	80.785254	0.000000	-0.018224	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	19.087494	-0.000000	-0.000000	-0.477014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
13	13	1	50.158564	47.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	174.374803	0.000000	216.087509	0.000000	80.756575	0.000000	-0.020098	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	37.772411	0.000000	0.000000	-0.477014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
14	14	1	50.183658	47.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	150.671567	0.000000	216.564523	0.000000	80.727907	0.000000	-0.025094	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	23.703236	0.000000	0.000000	-0.477014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
15	15	1	50.212117	46.328790	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	98.552448	0.000000	217.041538	0.000000	80.699248	0.000000	-0.028459	0.000000	0.000000	0.671210	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	52.119119	-0.000000	-0.000000	-0.477014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
16	16	1	50.228157	36.992352	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	59.210862	0.000000	217.518552	0.000000	88.849134	0.000000	-0.016040	0.000000	0.000000	9.336438	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	39.341587	0.000000	0.000000	-0.477014	0.000000	0.000000	0.000000	-8.178534	0.000000	0.000000	0.000000
17	17	1	50.325450	27.655914	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	36.063384	0.000000	217.995567	0.000000	118.648904	0.000000	-0.097293	0.000000	0.000000	9.336438	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	23.147477	0.000000	0.000000	-0.477014	0.000000	0.000000	0.000000	-29.831311	0.000000	0.000000	0.000000
18	18	1	50.429331	18.319475	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	17.081316	0.000000	218.472581	0.000000	118.606783	0.000000	-0.103881	0.000000	0.000000	9.336438	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	18.982069	-0.000000	-0.000000	-0.477014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
19	19	1	50.479169	8.983037	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	10.464412	0.000000	218.949595	0.000000	118.564678	0.000000	-0.049838	0.000000	0.000000	9.336438	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.616904	0.000000	0.000000	-0.477014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
20	20	1	50.529641	4.988492	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	10.464412	0.000000	219.426610	0.000000	118.522588	0.000000	-0.050472	0.000000	0.000000	3.994545	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.477014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
