Period	HourofPeriod	TD	DAM_STORAGE	PHS	BATT_LI	CAES	BEV_BATT	PHEV_BATT	TS_HIGH_TEMP	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLF_STO	PT_STORAGE	ST_STORAGE	TS_COLD	DAM_STORAGE_in	DAM_STORAGE_out	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	CAES_in	CAES_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_HIGH_TEMP_in	TS_HIGH_TEMP_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLF_STO_in	SLF_STO_out	PT_STORAGE_in	PT_STORAGE_out	ST_STORAGE_in	ST_STORAGE_out	TS_COLD_in	TS_COLD_out
11	11	1	5315.382204	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	28.037357	0.000000	26.104518	0.000000	0.000000	134.567849	-10.487240	15.967000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.457252	0.000000	-0.000000	-0.094412	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
12	12	1	5309.976222	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	26.329311	0.000000	26.198930	0.000000	0.000000	133.459010	-10.561018	15.967000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.708046	0.000000	0.000000	-0.094412	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
13	13	1	5304.492527	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	24.527615	0.000000	26.293342	0.000000	0.000000	132.359308	-10.483305	15.967000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.801696	0.000000	0.000000	-0.094412	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
14	14	1	5299.004897	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	21.789410	-0.000000	26.387753	0.000000	0.000000	131.268667	-10.479370	15.967000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.738204	0.000000	0.000000	-0.094412	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
15	15	1	5293.605800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	18.676603	0.000000	26.482165	0.000000	0.000000	130.187013	-10.567903	15.967000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.112808	0.000000	-0.000000	-0.094412	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
16	16	1	5288.283432	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	15.563795	0.000000	26.576577	0.000000	0.000000	129.114272	-10.644632	15.967000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.112808	0.000000	0.000000	-0.094412	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
17	17	1	5283.253224	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9.850151	0.000000	26.670989	0.000000	0.000000	128.050371	-10.936792	15.967000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.713645	0.000000	-0.000000	-0.094412	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
18	18	1	5278.165961	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9.850151	0.000000	26.765401	0.000000	0.000000	126.995236	-10.879737	15.967000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.094412	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
19	19	1	5272.901631	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9.850151	0.000000	26.859812	0.000000	0.000000	125.948795	-10.702671	15.967000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.094412	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
20	20	1	5266.912314	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9.850151	-0.000000	26.954224	0.000000	0.000000	124.910977	-9.977683	15.967000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.094412	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
