Unit	[GW]	ELECTRICITY	ELECTRICITY	ELECTRICITY	ELECTRICITY	GASOLINE	GASOLINE	GASOLINE	GASOLINE	DIESEL	DIESEL	DIESEL	DIESEL	BIOETHANOL	BIOETHANOL	BIOETHANOL	BIOETHANOL	BIODIESEL	BIODIESEL	BIODIESEL	BIODIESEL	LFO	LFO	LFO	LFO	NG	NG	NG	NG	SLF	SLF	SLF	SLF	SNG	SNG	SNG	SNG	WOOD	WOOD	WOOD	WOOD	WET_BIOMASS	WET_BIOMASS	WET_BIOMASS	WET_BIOMASS	COAL	COAL	COAL	COAL	URANIUM	URANIUM	URANIUM	URANIUM	WASTE	WASTE	WASTE	WASTE	H2	H2	H2	H2	CO2_EMISSIONS	CO2_EMISSIONS	CO2_EMISSIONS	CO2_EMISSIONS	RES_WIND	RES_WIND	RES_WIND	RES_WIND	RES_SOLAR	RES_SOLAR	RES_SOLAR	RES_SOLAR	RES_HYDRO	RES_HYDRO	RES_HYDRO	RES_HYDRO	RES_GEO	RES_GEO	RES_GEO	RES_GEO	CO2_ATM	CO2_ATM	CO2_ATM	CO2_ATM	CO2_INDUSTRY	CO2_INDUSTRY	CO2_INDUSTRY	CO2_INDUSTRY	CO2_CAPTURED	CO2_CAPTURED	CO2_CAPTURED	CO2_CAPTURED	PT_HEAT	PT_HEAT	PT_HEAT	PT_HEAT	ST_HEAT	ST_HEAT	ST_HEAT	ST_HEAT
Td	Time	R_t_local	R_t_exterior	R_t_import	R_t_export	R_t_local	R_t_exterior	R_t_import	R_t_export	R_t_local	R_t_exterior	R_t_import	R_t_export	R_t_local	R_t_exterior	R_t_import	R_t_export	R_t_local	R_t_exterior	R_t_import	R_t_export	R_t_local	R_t_exterior	R_t_import	R_t_export	R_t_local	R_t_exterior	R_t_import	R_t_export	R_t_local	R_t_exterior	R_t_import	R_t_export	R_t_local	R_t_exterior	R_t_import	R_t_export	R_t_local	R_t_exterior	R_t_import	R_t_export	R_t_local	R_t_exterior	R_t_import	R_t_export	R_t_local	R_t_exterior	R_t_import	R_t_export	R_t_local	R_t_exterior	R_t_import	R_t_export	R_t_local	R_t_exterior	R_t_import	R_t_export	R_t_local	R_t_exterior	R_t_import	R_t_export	R_t_local	R_t_exterior	R_t_import	R_t_export	R_t_local	R_t_exterior	R_t_import	R_t_export	R_t_local	R_t_exterior	R_t_import	R_t_export	R_t_local	R_t_exterior	R_t_import	R_t_export	R_t_local	R_t_exterior	R_t_import	R_t_export	R_t_local	R_t_exterior	R_t_import	R_t_export	R_t_local	R_t_exterior	R_t_import	R_t_export	R_t_local	R_t_exterior	R_t_import	R_t_export	R_t_local	R_t_exterior	R_t_import	R_t_export	R_t_local	R_t_exterior	R_t_import	R_t_export
1	1	0.000000	0.000000	0.000000	91.851771	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.927252	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.894145	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.274325	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.135730	0.000000	0.000000	0.000000	133.272024	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.667663	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	2	0.000000	0.000000	0.000000	81.971144	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.121858	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.894145	0.000000	0.000000	0.000000	5.932143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.274325	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.505854	0.000000	0.000000	0.000000	129.698565	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.559456	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	3	0.000000	0.000000	0.000000	81.054841	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.480401	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.894145	0.000000	0.000000	0.000000	5.932143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.274325	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.505854	0.000000	0.000000	0.000000	128.999086	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.545684	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	4	0.000000	0.000000	0.000000	85.870533	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.132298	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.894145	0.000000	0.000000	0.000000	5.932143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.274325	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.505854	0.000000	0.000000	0.000000	121.011691	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.781772	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	5	0.000000	0.000000	0.000000	85.937054	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.696850	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.894145	0.000000	0.000000	0.000000	5.932143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.274325	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.505854	0.000000	0.000000	0.000000	121.731261	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.989757	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	6	0.000000	0.000000	0.000000	91.851771	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.141464	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.894145	0.000000	0.000000	0.000000	5.932143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.274325	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.505854	0.000000	0.000000	0.000000	127.467977	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.049628	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	7	0.000000	0.000000	0.000000	90.586854	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.489567	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.894145	0.000000	0.000000	0.000000	5.932143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.274325	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.505854	0.000000	0.000000	0.000000	128.816319	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	10.113433	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	8	0.000000	0.000000	0.000000	76.015166	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.163618	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.894145	0.000000	0.000000	0.000000	5.932143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.274325	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.505854	0.000000	0.000000	0.000000	115.556037	0.000000	0.000000	0.000000	0.001661	0.000000	0.000000	0.000000	10.529539	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	9	0.000000	0.000000	0.000000	58.439590	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.652541	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.894145	0.000000	0.000000	0.000000	5.932143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.274325	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.505854	0.000000	0.000000	0.000000	96.406804	0.000000	0.000000	0.000000	0.018332	0.000000	0.000000	0.000000	10.537409	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	10	0.000000	0.000000	0.000000	43.125847	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.304438	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.894145	0.000000	0.000000	0.000000	5.932143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.274325	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.505854	0.000000	0.000000	0.000000	79.073357	0.000000	0.000000	0.000000	0.065856	0.000000	0.000000	0.000000	10.531507	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	11	0.000000	0.000000	0.000000	36.461641	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.825955	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.894145	0.000000	0.000000	0.000000	5.932143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.274325	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.505854	0.000000	0.000000	0.000000	71.854825	0.000000	0.000000	0.000000	0.053158	0.000000	0.000000	0.000000	10.487240	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	12	0.000000	0.000000	0.000000	39.592963	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.304438	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.894145	0.000000	0.000000	0.000000	5.932143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.274325	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.505854	0.000000	0.000000	0.000000	75.163695	0.000000	0.000000	0.000000	0.071236	0.000000	0.000000	0.000000	10.561018	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
